 NAME III (version 6.5)                                          
 Run name:                   Training Example 1
 Run time:                   30/09/2015 15:20:04.640 UTC+01:00
 Met data:                   Single Site Flow.Met Station
 Start of release:           08/10/2008 00:00 UTC
 End of release:             08/10/2008 06:00 UTC
 Source strength:            100.0000 g / s
 Release location:           3.4700W   50.7300N
 Release height:             150.000m agl +/- 0.000m
 Run duration:               12hr 0min
 X grid origin:                -6.445000    
 Y grid origin:                 47.75500    
 X grid size:                         120
 Y grid size:                         120
 X grid resolution:            5.0000001E-02
 Y grid resolution:            5.0000001E-02
 Number of preliminary cols:            4
 Number of field cols:                  1
 
 Fields:
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                     Req 1,
                        ,                        ,                        ,                        ,         Air Concentration,
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                   g / m^3,
                        ,                        ,                        ,                        ,               All sources,
                        ,                        ,                        ,                        ,     No ensemble averaging,
                        ,                        ,                        ,                        ,          1hr 0min average,
                        ,                        ,                        ,                        ,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                      92,                      59,               -1.895000,                50.65500,             6.3366446E-07,
                      92,                      60,               -1.895000,                50.70500,             1.1032135E-06,
                      92,                      61,               -1.895000,                50.75500,             7.1794051E-07,
                      92,                      62,               -1.895000,                50.80500,             6.0801324E-07,
                      92,                      63,               -1.895000,                50.85500,             3.0436843E-07,
                      92,                      64,               -1.895000,                50.90500,             1.6619894E-07,
                      92,                      65,               -1.895000,                50.95500,             1.1090741E-07,
                      93,                      52,               -1.845000,                50.30500,             2.7347355E-08,
                      93,                      53,               -1.845000,                50.35500,             8.2129894E-08,
                      93,                      54,               -1.845000,                50.40500,             2.7405967E-08,
                      93,                      55,               -1.845000,                50.45500,             1.9202696E-07,
                      93,                      56,               -1.845000,                50.50500,             4.9431378E-07,
                      93,                      57,               -1.845000,                50.55500,             3.5738816E-07,
                      93,                      58,               -1.845000,                50.60500,             6.0546159E-07,
                      93,                      59,               -1.845000,                50.65500,             8.2651894E-07,
                      93,                      60,               -1.845000,                50.70500,             8.8257082E-07,
                      93,                      61,               -1.845000,                50.75500,             6.0748812E-07,
                      93,                      62,               -1.845000,                50.80500,             4.4219146E-07,
                      93,                      63,               -1.845000,                50.85500,             4.4271772E-07,
                      93,                      64,               -1.845000,                50.90500,             8.3099472E-08,
                      93,                      65,               -1.845000,                50.95500,             1.1090741E-07,
                      93,                      66,               -1.845000,                51.00500,             2.7756943E-08,
